Team,Player,Postion,Number
United,Jardan Box,Forward,1
United,Luis Lopez,Forward,2
United,Dorian Lopez,Midfielder,3
United,Marcus Matheiu,Midfielder,4
United,Zach Norris,Midfielder,5
United,Elijah Strickland,Midfielder,6
United,Stephan Amalong,Defender,7
United,Ivor Baric,Defender,8
United,John Moon,Defender,9
United,Cory Covarrubia,Defender,10
United,Trip Fuller,GoalKeeper,11
Parma,Anthony Buchannan,Forward,1
Parma,Taylor Vanderford,Forward,2
Parma,Nijeee Cooper,Midfielder,3
Parma,Austin Ford,Midfielder,4
Parma,Skylar Bieke,Midfielder,5
Parma,Seth Brown,Midfielder,6
Parma,Sergio Flores,Defender,7
Parma,Clay Collier,Defender,8
Parma,Braydan Castrop,Defender,9
Parma,Ante Susic,Defender,10
Parma,Stephen Tower,GoalKeeper,11
Eagles,Michale Ojeda,Forward,1
Eagles,Bobby Stewart,Forward,2
Eagles,Evan Helker,Midfielder,3
Eagles,Daniel Bolin,Midfielder,4
Eagles,Brandon Axe,Midfielder,5
Eagles,Cody McLemore,Midfielder,6
Eagles,Jared Pubjabi,Defender,7
Eagles,Troy Tippeconnic,Defender,8
Eagles,Cole Rinke,Defender,9
Eagles,Cesar Xepeda,Defender,10
Eagles,Cody Cook,GoalKeeper,11
Energy,Cody Laurendi,Forward,1
Energy,Kyle Hyland,Forward,2
Energy,Cyprian Hedrick,Midfielder,3
Energy,Gareth Evans,Midfielder,4
Energy,Jose Cuevas,Midfielder,5
Energy,Sebastian Dalgaard,Midfielder,6
Energy,Michael Thomas,Defender,7
Energy,Danni Kšnig,Defender,8
Energy,Tim Janssen,Defender,9
Energy,Daniel Gonzalez,Defender,10
Energy,Coy Craft,GoalKeeper,11
